5802 1.8699712235 1984 1 3 7 9 8.4 9.3 7.8 8.4 7.7 6.9 3 3 0 2 2 3 0 2 0 0 2 1.2222222222 2 2 2 3 3 2 2 2.2857142857 2 3 3 2 3 0 2 2.1428571429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 1 1.1666666667 4
9201 1.3795563422 1982 0 3 9.4 6.1 6.1 2.3 8.9 5.7 5.4 3.9 0 3 0 1 1 3 0 2 1 1 1 1.1111111111 1 1 1 3 1 3 1 1.5714285714 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 1 1 0 3 0 1 2 1.1428571429 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999
9601 1.6306058534 1980 1 3 9.6 9.5 9.2 6.3 9.9 8.5 -99999 6.9 2 3 1 2 1 3 0 2 0 2 2 1.4444444444 3 3 3 3 3 3 2 2.8571428571 2 2 3 3 3 2 2 2.4285714286 1 2 0 3 0 0 0 0.8571428571 1 1 1 3 1 0 1 1.1428571429 0 1 0 2 2 1 1 5
11101 1.7458038991 1982 1 3 9.7 8.1 9.2 7.7 4.6 8.8 5.8 4.5 3 3 0 0 1 3 1 1 1 0 1 0.8888888889 1 2 2 2 1 3 2 1.8571428571 3 3 3 2 2 3 2 2.5714285714 0 1 1 0 2 1 0 0.7142857143 0 1 0 0 1 1 0 0.4285714286 1 2 1 2 2 1 1.5 4
11102 1.7827133842 1983 1 3 7.9 8.4 7.7 7 5.6 5.8 4.3 7.1 3 3 1 1 2 2 2 2 1 0 0 1.2222222222 2 1 1 2 2 2 1 1.5714285714 2 2 2 2 2 2 2 2 3 2 0 1 0 0 2 1.1428571429 0 0 0 0 0 0 0 0 1 0 1 2 2 2 1.3333333333 4
11201 1.583926476 1982 0 3 8.2 6.3 9.7 3.2 9.5 9.3 9.1 7.9 2 3 1 1 1 3 1 1 0 1 1 1.1111111111 2 1 2 1 2 2 2 1.7142857143 2 2 3 2 3 3 3 2.5714285714 0 0 1 2 1 1 1 0.8571428571 0 0 0 1 2 0 1 0.5714285714 0 1 1 2 3 2 1.5 6
12801 1.9943311768 1982 0 3 8.2 1.4 5.8 4.5 8 8.5 7.5 8.2 2 3 1 0 0 3 0 2 1 0 1 0.8888888889 1 2 2 2 2 2 2 1.8571428571 1 2 2 2 2 2 2 1.8571428571 0 0 1 2 2 0 0 0.7142857143 0 0 0 0 1 0 0 0.1428571429 1 1 1 2 2 2 1.5 6
17501 0.9498084291 1982 0 3 -99999 -99999 5.3 3.2 -99999 9.9 8.5 9.3 2 2 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 3 1 2 2 2 3 2 2.1428571429 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 1 2 0 2 2 2 1 1.4285714286 2 1 1 2 3 2 1.8333333333 7
17502 1.9181163858 1983 1 3 3.9 3.4 5.5 5.8 6.8 6.2 1.8 5.8 2 3 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 2 2 3 3 2 2 2 2.2857142857 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 0 2 0 3 0 2 1 1.1428571429 2 2 2 2 3 2 2.1666666667 5
17901 1.8809480557 1981 1 3 7.9 7.5 8.7 4.5 3.8 4.1 2.9 6.2 3 3 0 3 0 3 0 2 0 2 0 1.1111111111 2 1 2 1 1 2 1 1.4285714286 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0.4285714286 0 1 0 1 2 0 0.6666666667 5
17902 1.8161675901 1983 1 3 7 5.5 6.8 3.4 5.2 4.7 5.9 4.5 2 3 0 0 3 3 0 1 0 0 2 1 3 3 3 3 3 3 0 2.5714285714 3 3 3 2 3 2 3 2.7142857143 2 0 0 2 1 0 0 0.7142857143 3 2 3 3 3 3 0 2.4285714286 2 2 2 3 3 3 2.5 3
18002 1.8455013455 1982 0 3 5.8 9.2 9.2 6.8 3.9 8.5 4.3 5.5 -99999 -99999 1 2 1 1 0 2 1 1 1 1.1111111111 2 1 2 3 2 2 3 2.1428571429 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 1 1 2 3 2 2 1 1.7142857143 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 4
18003 1.8975562705 1984 0 3 7.3 8.7 5.3 8.7 5.5 7.6 5.4 8.7 2 2 0 0 2 3 0 3 0 0 -99999 1 3 3 3 3 3 3 3 3 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 0 0 0 3 0 0 0 0.4285714286 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999
18301 1.7293251067 1984 0 3 9.4 9.2 7.9 8.1 7.4 8.4 -99999 6.9 3 2 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 3 2 2 1 2 2 2 2 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 0 1 0 0 0 0 1 0.2857142857 2 1 2 2 2 2 1.8333333333 6
20001 1.9422913009 1983 1 3 9.1 5.8 7.7 4.7 8.8 6.7 6.3 8.6 2 0 0 0 1 3 0 0 0 0 0 0.4444444444 2 1 2 2 2 2 2 1.8571428571 2 2 2 3 3 2 2 2.2857142857 1 1 1 1 1 1 1 1 1 2 1 2 0 0 0 0.8571428571 1 1 1 1 2 1 1.1666666667 5
20402 0.9498084291 1984 1 1 -99999 5.5 7.7 4.7 -99999 9.5 9.6 9.3 2 2 1 3 3 3 1 3 0 0 3 1.8888888889 2 1 2 3 2 3 3 2.2857142857 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 0 1 0 1 0 1 0 0.4285714286 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999 -99999
